ID,SUBJECT,THEME,DIFFICULTY,TITLE,STATEMENT,INPUT_FORMAT,OUTPUT_FORMAT,TIME_LIMIT,MEMORY_LIMIT
1,информатика,темная,средняя,Сумма уникальных чисел,"Вам дан список целых чисел.
Необходимо найти сумму тех чисел, которые встречаются в списке ровно один раз.
Если таких чисел нет — выведите 0.","В первой строке записано одно целое число n — количество элементов массива (1 ≤ n ≤ 10^5)
Во второй строке записаны n целых чисел a₁, a₂, ..., aₙ (-10^9 ≤ aᵢ ≤ 10^9)","Выведите одно целое число — сумму элементов, которые встречаются ровно один раз.",1,64 MB
2,информатика,пп,средняя,Самый длинный отрезок с ограниченной суммой,"Дан массив из n неотрицательных целых чисел и число K.
Найдите длину самого длинного непрерывного подмассива, сумма элементов которого не превышает K.","В первой строке записаны два целых числа n и K (1 ≤ n ≤ 2·10^5, 0 ≤ K ≤ 10^18)
Во второй строке записаны n целых чисел a₁, a₂, ..., aₙ (0 ≤ aᵢ ≤ 10^9)",Выведите одно целое число — максимальную длину подходящего подмассива.,1,64 MB
3,математика,Арифметические последовательности,легкая,Потерянное число,"Дана арифметическая последовательность. Из неё удалили одно число:
3, 7, 11, __, 19, 23

Найдите пропущенное число.",,,,
4,математика,Проценты и смеси,средняя,Раствор,"Есть 200 г раствора соли с концентрацией 10%. Сколько граммов соли нужно добавить, чтобы концентрация стала 20%?
В ответ запишите только число в граммах.",,,,
5,математика,Логические задачи,средняя,Монеты,"У тебя есть 9 монет. Одна из них фальшивая и легче остальных. За какое минимальное число взвешиваний на чашечных весах можно определить фальшивую монету?
В ответ запишите только число.",,,,
6,русский язык,Орфография,легкая,Скрытая буква,"В каком слове пишется буква И?

Пр…вилегия
Пр…тензия
Пр…митивный
Пр…оритет

В ответ запишите слово с пропущенной буквой.",,,,
7,русский язык,Средства выразительности,средняя,Найди троп,"Определите средство выразительности в предложении:
«Золотые руки мастера создали удивительную скульптуру».",,,,
8,русский язык,Синтаксис,средняя,Тип предложения,"Определите тип предложения:
«Когда солнце зашло, город погрузился в тишину».
В ответ запишите только тип предложения.",,,,
9,химия,Валентность,легкая,Формула вещества,"Составьте формулу соединения алюминия и кислорода, если валентность алюминия III, а кислорода II.",,,,
10,химия,Массовая доля вещества,легкая,Найди процент,"В 150 г раствора содержится 30 г соли. Найдите массовую долю соли.
В ответ запишите только число.",,,,
11,химия,Химические реакции,средняя,Тип реакции,"Определите тип реакции:
2H₂ + O₂ → 2H₂O
В ответ запишите только тип реакции.",,,,
12,английский язык,Грамматика (времена),легкая,Выбери время,"Choose the correct option:
She ___ to school every day.
a) go
b) goes
c) going
d) gone",,,,
13,английский язык,Лексика,легкая,Синоним,"Choose the synonym of the word “huge”:
a) tiny
b) enormous
c) weak
d) short",,,,
14,английский язык,Чтение и понимание,легкая,Логика текста,"Read the sentence and answer the question:
“Tom was late because he missed the bus.”

Why was Tom late?",,,,
15,биология,Клетка,легкая,Энергетическая станция,Какой органоид клетки отвечает за выработку энергии?,,,,
16,биология,Генетика,легкая,Наследование,"Как называется участок ДНК, отвечающий за определённый признак?",,,,
17,биология,Экология,легкая,Пищевая цепь,Кто является продуцентом в пищевой цепи?,,,,
18,физика,механика,средная,Расчет пути,"Автомобиль движется со скоростью 72 км/ч. Определите, какой путь он преодолеет за 10 минут. Ответ выразите в километрах.",,,,
19,география,География,средная,Реки и их бассейны,"Определите, к бассейну какого океана относится река Волга. Укажите название океана и приведите не менее трёх крупных рек, относящихся к этому бассейну. Ответ представьте в виде списка: океан, реки (через запятую).",,,,
20,математика,Математика,средняя,Сумма углов треугольника,Найдите сумму углов треугольника. Ответ представьте в виде числа.,,,,
21,математика,Математика,средняя,Среднее арифметическое,"Найдите среднее арифметическое чисел: 12, 15, 18, 21, 24. Ответ запишите в виде одного числа.",,,,
91,математика,Алгебра,средняя,Решение системы уравнений,"Решите систему уравнений: 
$x + 2y = 5
3x - y = 1$ 
В ответе укажите пару чисел (x, y) через запятую, например: (2, 3)",,,,
